episode,timestep,reward
4,800,-2229152.2387
7,1600,-211485.4549
12,2400,310034.5686
17,3200,2559283.9421
24,4000,-1252509.1576
28,4800,1924970.544
35,5600,684455.8928
41,6400,530649.4395
49,7200,-47289.4545
58,8000,2178724.9949
68,8800,198664.381
79,9600,1828867.9011
94,10400,-371603.7911
108,11200,-2410054.1361
129,12000,1205548.647
146,12800,329110.0932
168,13600,720032.7211
187,14400,548734.8963
213,15200,-2768678.3837
240,16000,-2558710.8719
272,16800,-2173954.8034
305,17600,-1661433.4368
339,18400,-1427403.9634
377,19200,-1052956.8333
415,20000,-1199020.4777
452,20800,-1399511.3893
490,21600,-1112006.6286
529,22400,-1043801.8502
571,23200,-1064927.8786
613,24000,-681011.8127
657,24800,-690721.8386
701,25600,-643095.1653
746,26400,-471680.8252
789,27200,-705692.2814
835,28000,-431264.8501
881,28800,-497537.7069
928,29600,-354758.0398
977,30400,-366322.0626
1028,31200,-277819.6048
1077,32000,-258482.5632
1083,32800,603092.2091
1087,33600,-2436736.6412
1110,34400,-1709418.4543
1133,35200,-754101.7143
1160,36000,-885226.0259
1189,36800,-865385.7704
1226,37600,-751242.0039
1265,38400,-599573.728
1305,39200,-672709.8908
1346,40000,-818458.4743
1393,40800,-415772.1952
1437,41600,-452571.8743
1480,42400,-490373.8956
1525,43200,-396230.2132
1574,44000,-241255.4487
1623,44800,-222482.7856
1673,45600,-201408.0787
1724,46400,-235070.3672
1772,47200,-420351.2939
1821,48000,-399618.2703
1871,48800,-302784.8733
1920,49600,-374356.4474
1971,50400,-767758.6101
2021,51200,-690736.58
2072,52000,-345884.8398
2124,52800,-435903.8476
2175,53600,-285810.4272
2228,54400,-204869.4471
2278,55200,-226877.868
2329,56000,-247129.0614
2381,56800,-247459.3195
2433,57600,-216756.4265
2486,58400,-318696.7671
2538,59200,-200621.7005
2589,60000,-340559.219
2641,60800,-370395.1979
2695,61600,-442407.3351
2748,62400,-249047.3333
2802,63200,-168942.059
2850,64000,-300048.1356
2905,64800,-173210.5128
2960,65600,-126195.7141
3014,66400,-446432.8311
3066,67200,-463954.4118
3118,68000,-393096.0575
3170,68800,-518741.7874
3204,69600,-387710.0627
3242,70400,-575184.4646
3282,71200,-412015.6316
3323,72000,-629977.0527
3365,72800,-713846.3391
3407,73600,-530464.6016
3454,74400,-620271.1554
3501,75200,-657470.6866
3552,76000,-512730.1883
3601,76800,-744474.5806
3654,77600,-578342.0589
3706,78400,-578912.643
3758,79200,-330365.0802
3811,80000,-496705.2758
3865,80800,-252039.181
3920,81600,-354397.6993
3972,82400,-556312.0802
4025,83200,-443173.8822
4079,84000,-313709.9893
4134,84800,-268489.6899
4165,85600,-729166.4122
4197,86400,-750983.5182
4238,87200,-752510.78
4279,88000,-664158.4519
4326,88800,-541955.5697
4371,89600,-385791.8795
4421,90400,-408236.9907
4472,91200,-408604.6008
4522,92000,-405515.2973
4571,92800,-495478.2863
4624,93600,-108637.5368
4678,94400,-199789.6434
4732,95200,-100575.6702
4788,96000,-112927.797
4833,96800,2749571.1245
4879,97600,-2612805.7109
4927,98400,-1776669.0864
4975,99200,-1607797.5785
5026,100000,-1247040.5634
