episode,timestep,reward
3,800,85097.6424
6,1600,-390874.8858
9,2400,2619449.276
12,3200,2588244.6801
16,4000,-2581517.5263
20,4800,2606365.1093
24,5600,-267323.8407
30,6400,-672263.9181
37,7200,1712873.6797
43,8000,2563306.0943
50,8800,2521273.7402
59,9600,-17217.0632
73,10400,1573379.7812
85,11200,1720531.3541
98,12000,-2107440.8577
115,12800,-770030.1098
134,13600,-791941.5327
151,14400,143202.0102
172,15200,988089.7304
193,16000,701905.1232
215,16800,1434301.9165
238,17600,1397757.7284
264,18400,2213609.8346
289,19200,1981890.5381
317,20000,1733726.7202
348,20800,2083121.355
376,21600,1894189.8342
405,22400,2756779.6368
439,23200,-2010979.8094
471,24000,2655616.2904
512,24800,-1615558.9394
550,25600,-1715998.6352
586,26400,-1382467.7238
624,27200,-1484543.0538
669,28000,-707454.2781
712,28800,-858900.5456
759,29600,-488806.1726
804,30400,-593538.7325
850,31200,-342445.8952
896,32000,-334365.6472
945,32800,-418248.5486
995,33600,-217438.2333
1048,34400,-211559.0321
