episode,timestep,reward
1,800,970574.3191
3,1600,-907561.5525
6,2400,-900861.3116
8,3200,-1634489.8112
11,4000,874045.9562
13,4800,1370709.771
18,5600,2139637.6792
22,6400,-2448719.5465
26,7200,2669808.7679
31,8000,-497151.156
38,8800,-1455186.4086
47,9600,-2599309.6587
55,10400,1784954.9015
68,11200,-2524695.8869
80,12000,-1466403.3325
93,12800,2333722.1067
111,13600,338304.3005
130,14400,2146320.6569
150,15200,1697426.3487
174,16000,-2365858.25
198,16800,-2503755.1624
221,17600,1690900.5714
254,18400,-1459508.7549
286,19200,-1959132.7109
321,20000,-1196928.9072
357,20800,-953389.7631
397,21600,-865099.3158
434,22400,-1412427.7012
475,23200,-659094.3333
514,24000,-488246.1209
555,24800,-656724.9895
594,25600,-623642.1787
633,26400,-566146.4862
675,27200,-462579.8021
722,28000,-374722.7158
767,28800,-723411.1987
809,29600,-1391970.5871
851,30400,-1495073.314
872,31200,-1678259.6958
886,32000,-1173660.6285
913,32800,-2220224.1022
940,33600,-2298981.8719
972,34400,-1375169.6784
1007,35200,-1011895.5948
1047,36000,-1292280.1526
1085,36800,-1059310.9554
1127,37600,-618966.8575
1170,38400,-848297.2919
1215,39200,-549947.5987
1259,40000,-849491.0344
1307,40800,-529403.8085
1356,41600,-364984.8455
1408,42400,-274165.6003
1459,43200,-204389.8171
1512,44000,-167430.5408
1562,44800,-241004.98
1613,45600,-478075.3164
1663,46400,-454748.3147
1715,47200,-271483.9545
1765,48000,-334778.9213
1816,48800,-200514.1749
1869,49600,-242350.2744
1921,50400,-155150.7834
1972,51200,-156304.5407
2025,52000,-116539.5622
2076,52800,-97539.4326
2127,53600,-304801.6142
2176,54400,-427105.9787
2227,55200,-456685.5047
2279,56000,-188583.8222
2331,56800,-383792.8155
2383,57600,-282145.5321
2385,58400,-2592661.6688
2387,59200,2661018.4325
2389,60000,266426.4343
2391,60800,-2281441.3262
2394,61600,795692.0338
2397,62400,-850699.6003
2403,63200,1810349.9798
2407,64000,1261021.5834
2414,64800,2259180.2131
2420,65600,786456.6365
2442,66400,-2465550.8252
2459,67200,-2323503.9502
2488,68000,1906455.6809
2520,68800,2521966.7682
2546,69600,-848959.9625
2578,70400,1080632.1562
2615,71200,-2807385.6959
2654,72000,-2155215.3193
2696,72800,-2004003.5026
2737,73600,-2101513.3768
2784,74400,-1283012.259
2831,75200,-1187288.9163
2876,76000,-1751049.0172
2922,76800,-1225532.6485
2964,77600,-1274490.9472
3005,78400,-1225343.3992
3047,79200,-1226979.6741
3089,80000,-1271835.2269
3132,80800,-980292.6473
3176,81600,-916723.8122
3223,82400,-730502.0903
3271,83200,-829854.0585
3322,84000,-946647.522
3373,84800,-735714.6008
3426,85600,-674726.0321
3479,86400,-471241.5074
3526,87200,-392866.8645
3575,88000,-350847.0905
3622,88800,-401167.8977
3672,89600,-453361.26
3722,90400,-670703.676
3771,91200,-853549.6565
3823,92000,-574887.3249
3876,92800,-318634.0348
3928,93600,-225992.2086
3980,94400,-447900.8128
4028,95200,-379572.2048
4079,96000,-476654.4887
4132,96800,-460563.2369
4185,97600,-607790.1606
4236,98400,-499479.4433
4287,99200,-516824.4887
4340,100000,-429777.5971
