episode,timestep,reward
1,800,204893.6771
3,1600,1648126.255
5,2400,-468841.935
7,3200,-2245012.8362
9,4000,709156.695
11,4800,244358.1112
15,5600,-1962538.5614
17,6400,1045894.6075
19,7200,-1859238.7112
21,8000,1413563.04
24,8800,-164575.1165
26,9600,1742834.1202
30,10400,-1350533.8507
33,11200,614724.3772
37,12000,610750.0038
44,12800,-1500889.488
53,13600,2196123.2933
63,14400,-2599635.8405
75,15200,594130.4213
86,16000,-553125.384
101,16800,699049.4803
115,17600,232657.0967
136,18400,2677964.6213
157,19200,-2747505.3068
179,20000,-2267227.6401
204,20800,-1922272.7561
235,21600,-992091.5566
268,22400,-1063088.0091
303,23200,-1436263.7307
339,24000,-874894.2395
374,24800,-1159003.4837
412,25600,-757650.4882
450,26400,-1079049.4094
489,27200,-1176331.272
532,28000,-730752.5271
577,28800,-458579.7603
622,29600,-709039.9868
664,30400,-637578.7296
711,31200,-286453.8513
758,32000,-390654.826
810,32800,-227362.0802
860,33600,-228149.32
910,34400,-196733.8253
962,35200,-164796.9104
1013,36000,-112209.7837
1068,36800,-110123.945
1117,37600,-103553.3289
1166,38400,-94126.2983
1218,39200,-79246.9452
1272,40000,-57689.2654
1325,40800,-87114.0054
1376,41600,-150977.9519
1429,42400,-104505.0
1482,43200,-77710.2503
1536,44000,-116684.567
1588,44800,-180568.3182
1639,45600,-87061.2243
1691,46400,-96470.7326
1745,47200,-41618.4638
1799,48000,-119346.2976
1853,48800,-116677.7855
1908,49600,-98021.157
1963,50400,-56408.753
2019,51200,-65887.5444
2075,52000,-5398.9556
2130,52800,-52380.3101
2132,53600,-1689430.6725
2134,54400,-323958.1675
2136,55200,-2078867.73
2138,56000,-529056.5412
2140,56800,-718190.155
2142,57600,-904882.725
2144,58400,-10530.5688
2146,59200,-389714.4425
2148,60000,-498325.1112
2150,60800,-67560.6375
2152,61600,-514241.0075
2154,62400,-494385.6188
2156,63200,-11968.8775
2158,64000,-42123.8325
2160,64800,-11372.9825
2162,65600,-11220.6275
2164,66400,-11158.9662
2166,67200,-8254.6754
2168,68000,-11122.7538
2170,68800,-11195.3975
2172,69600,-485943.2162
2174,70400,-32586.41
2176,71200,-297796.1625
2179,72000,-1417257.8573
2181,72800,-1390722.3442
2184,73600,-1221881.0426
2189,74400,-807716.5276
2191,75200,-1773839.0625
2193,76000,-1686077.4118
2198,76800,-2149438.9874
2201,77600,-1341701.9474
2207,78400,-541222.5718
2217,79200,-352425.2418
2223,80000,-422227.9685
2245,80800,-246306.3329
2267,81600,-112797.3689
2296,82400,-144262.0558
2321,83200,-36703.8684
2359,84000,-38284.3911
2391,84800,-146220.207
2431,85600,-48875.2197
2471,86400,-106779.5079
2514,87200,-39751.2312
2558,88000,-47751.2077
2607,88800,-28116.4887
2655,89600,-93208.6636
2706,90400,-16181.4045
2758,91200,-18868.0134
2808,92000,-250.192
2859,92800,-5589.1255
2890,93600,1954246.1912
2922,94400,1615613.2852
2953,95200,-2233693.6749
2987,96000,-1626419.1123
3028,96800,-923779.7576
3068,97600,-859576.4592
3107,98400,-938391.6794
3147,99200,-873790.7487
3191,100000,-683990.5013
